Date,Pays,Chaîne,Nom de la série,Saison,Épisode,URL
05-10-2023,ALLBLK,France,À La Carte,2,04,https://www.spin-off.frepisode04-410517-05102023-saison2-A-La-Carte.html
05-10-2023,TF1,Etats-Unis,Demain nous appartient,7,34,https://www.spin-off.frepisode34-410923-05102023-saison7-Demain-nous-appartient.html
05-10-2023,Netflix,Etats-Unis,Everything Now,1,01,https://www.spin-off.frepisode01-410218-05102023-saison1-Everything-Now.html
05-10-2023,Netflix,Etats-Unis,Everything Now,1,02,https://www.spin-off.frepisode02-410890-05102023-saison1-Everything-Now.html
05-10-2023,Netflix,Etats-Unis,Everything Now,1,03,https://www.spin-off.frepisode03-410891-05102023-saison1-Everything-Now.html
05-10-2023,Netflix,Etats-Unis,Everything Now,1,04,https://www.spin-off.frepisode04-410892-05102023-saison1-Everything-Now.html
05-10-2023,Netflix,Etats-Unis,Everything Now,1,05,https://www.spin-off.frepisode05-410893-05102023-saison1-Everything-Now.html
05-10-2023,Netflix,Etats-Unis,Everything Now,1,06,https://www.spin-off.frepisode06-410894-05102023-saison1-Everything-Now.html
05-10-2023,Netflix,Etats-Unis,Everything Now,1,07,https://www.spin-off.frepisode07-410895-05102023-saison1-Everything-Now.html
05-10-2023,Netflix,France,Everything Now,1,08,https://www.spin-off.frepisode08-410896-05102023-saison1-Everything-Now.html
05-10-2023,TF1,Canada,Ici tout commence,4,29,https://www.spin-off.frepisode29-410918-05102023-saison4-Ici-tout-commence.html
05-10-2023,Club illico ,Canada,Les révoltés,1,05,https://www.spin-off.frepisode05-411201-05102023-saison1-Les-revoltes.html
05-10-2023,Club illico ,Etats-Unis,Les révoltés,1,06,https://www.spin-off.frepisode06-411202-05102023-saison1-Les-revoltes.html
05-10-2023,Disney+,Etats-Unis,Loki,2,01,https://www.spin-off.frepisode01-410901-05102023-saison2-Loki.html
05-10-2023,Netflix,Etats-Unis,Lupin,3,01,https://www.spin-off.frepisode01-404379-05102023-saison3-Lupin.html
05-10-2023,Netflix,Etats-Unis,Lupin,3,02,https://www.spin-off.frepisode02-404380-05102023-saison3-Lupin.html
05-10-2023,Netflix,Etats-Unis,Lupin,3,03,https://www.spin-off.frepisode03-404381-05102023-saison3-Lupin.html
05-10-2023,Netflix,Etats-Unis,Lupin,3,04,https://www.spin-off.frepisode04-404382-05102023-saison3-Lupin.html
05-10-2023,Netflix,Etats-Unis,Lupin,3,05,https://www.spin-off.frepisode05-404383-05102023-saison3-Lupin.html
05-10-2023,Netflix,Etats-Unis,Lupin,3,06,https://www.spin-off.frepisode06-404384-05102023-saison3-Lupin.html
05-10-2023,Netflix,Etats-Unis,Lupin,3,07,https://www.spin-off.frepisode07-404385-05102023-saison3-Lupin.html
05-10-2023,HBO Max,Etats-Unis,Our Flag Means Death,2,01,https://www.spin-off.frepisode01-409662-05102023-saison2-Our-Flag-Means-Death.html
05-10-2023,HBO Max,Etats-Unis,Our Flag Means Death,2,02,https://www.spin-off.frepisode02-409663-05102023-saison2-Our-Flag-Means-Death.html
05-10-2023,HBO Max,France,Our Flag Means Death,2,03,https://www.spin-off.frepisode03-409664-05102023-saison2-Our-Flag-Means-Death.html
05-10-2023,OCS,France,Rictus,1,07,https://www.spin-off.frepisode07-409050-05102023-saison1-Rictus.html
05-10-2023,OCS,France,Rictus,1,08,https://www.spin-off.frepisode08-409051-05102023-saison1-Rictus.html
05-10-2023,OCS,France,Rictus,1,09,https://www.spin-off.frepisode09-409052-05102023-saison1-Rictus.html
05-10-2023,Arte,France,Sous contrôle,1,01,https://www.spin-off.frepisode01-408741-05102023-saison1-Sous-controle.html
05-10-2023,Arte,France,Sous contrôle,1,02,https://www.spin-off.frepisode02-411048-05102023-saison1-Sous-controle.html
05-10-2023,Arte,France,Sous contrôle,1,03,https://www.spin-off.frepisode03-411049-05102023-saison1-Sous-controle.html
05-10-2023,Arte,France,Sous contrôle,1,04,https://www.spin-off.frepisode04-411050-05102023-saison1-Sous-controle.html
05-10-2023,Arte,France,Sous contrôle,1,05,https://www.spin-off.frepisode05-411051-05102023-saison1-Sous-controle.html
05-10-2023,Arte,Etats-Unis,Sous contrôle,1,06,https://www.spin-off.frepisode06-411052-05102023-saison1-Sous-controle.html
05-10-2023,Paramount+,Etats-Unis,Star Trek: Lower Decks,4,06,https://www.spin-off.frepisode06-409760-05102023-saison4-Star-Trek-Lower-Decks.html
05-10-2023,truTV,Etats-Unis,Tacoma FD,4,12,https://www.spin-off.frepisode12-410643-05102023-saison4-Tacoma-FD.html
05-10-2023,truTV,Etats-Unis,Tacoma FD,4,13,https://www.spin-off.frepisode13-410644-05102023-saison4-Tacoma-FD.html
05-10-2023,HBO Max,Etats-Unis,Young Love,1,09,https://www.spin-off.frepisode09-410862-05102023-saison1-Young-Love.html
05-10-2023,HBO Max,Etats-Unis,Young Love,1,10,https://www.spin-off.frepisode10-410863-05102023-saison1-Young-Love.html
05-10-2023,HBO Max,Etats-Unis,Young Love,1,11,https://www.spin-off.frepisode11-410864-05102023-saison1-Young-Love.html
05-10-2023,HBO Max,Etats-Unis,Young Love,1,12,https://www.spin-off.frepisode12-410865-05102023-saison1-Young-Love.html
06-10-2023,Showtime,France,Billions,7,09,https://www.spin-off.frepisode09-409168-06102023-saison7-Billions.html
06-10-2023,TF1,Suède,Demain nous appartient,7,35,https://www.spin-off.frepisode35-410924-06102023-saison7-Demain-nous-appartient.html
06-10-2023,SVT Play,Suède,Familjen Andersson,1,08,https://www.spin-off.frepisode08-409539-06102023-saison1-Familjen-Andersson.html
06-10-2023,SVT Play,Suède,Gaslight,1,04,https://www.spin-off.frepisode04-410680-06102023-saison1-Gaslight.html
06-10-2023,SVT Play,Suède,Gaslight,1,05,https://www.spin-off.frepisode05-410681-06102023-saison1-Gaslight.html
06-10-2023,SVT Play,Etats-Unis,Gaslight,1,06,https://www.spin-off.frepisode06-410682-06102023-saison1-Gaslight.html
06-10-2023,Prime Video,Royaume-Uni,Gen V,1,04,https://www.spin-off.frepisode04-408428-06102023-saison1-Gen-V.html
06-10-2023,BBC One,Royaume-Uni,Ghosts (UK),5,01,https://www.spin-off.frepisode01-410534-06102023-saison5-Ghosts-(UK).html
06-10-2023,BBC One,Royaume-Uni,Ghosts (UK),5,02,https://www.spin-off.frepisode02-410722-06102023-saison5-Ghosts-(UK).html
06-10-2023,BBC One,Royaume-Uni,Ghosts (UK),5,03,https://www.spin-off.frepisode03-410723-06102023-saison5-Ghosts-(UK).html
06-10-2023,BBC One,Royaume-Uni,Ghosts (UK),5,04,https://www.spin-off.frepisode04-410724-06102023-saison5-Ghosts-(UK).html
06-10-2023,BBC One,Royaume-Uni,Ghosts (UK),5,05,https://www.spin-off.frepisode05-410725-06102023-saison5-Ghosts-(UK).html
06-10-2023,BBC One,Danemark,Ghosts (UK),5,06,https://www.spin-off.frepisode06-410726-06102023-saison5-Ghosts-(UK).html
06-10-2023,DR1,France,Huset,1,06,https://www.spin-off.frepisode06-410716-06102023-saison1-Huset.html
06-10-2023,TF1,Etats-Unis,Ici tout commence,4,30,https://www.spin-off.frepisode30-410919-06102023-saison4-Ici-tout-commence.html
06-10-2023,Prime Video,Etats-Unis,Last Exit Schinkenstraße,1,01,https://www.spin-off.frepisode01-411018-06102023-saison1-Last-Exit-Schinkenstraße.html
06-10-2023,Prime Video,Etats-Unis,Last Exit Schinkenstraße,1,02,https://www.spin-off.frepisode02-411019-06102023-saison1-Last-Exit-Schinkenstraße.html
